class,image,iou,dice,precision,recall
RO,d_r_122_,0.740290,0.850766,0.999218,0.740719
RO,d_r_129_,1.000000,1.000000,1.000000,1.000000
RO,d_r_144_,1.000000,1.000000,1.000000,1.000000
RO,d_r_166_,1.000000,1.000000,1.000000,1.000000
RO,d_r_182_,1.000000,1.000000,1.000000,1.000000
RO,d_r_196_,0.537534,0.699215,0.998599,0.537939
RO,d_r_233_,1.000000,1.000000,1.000000,1.000000
RO,d_r_277_,0.767878,0.868700,0.961477,0.792253
RO,d_r_300_,0.151747,0.263507,0.999405,0.151760
RO,d_r_345_,1.000000,1.000000,1.000000,1.000000
RO,d_r_379_,1.000000,1.000000,1.000000,1.000000
RO,d_r_384_,0.624193,0.768619,0.999717,0.624303
RO,d_r_386_,0.468034,0.637634,1.000000,0.468034
RO,d_r_465_,0.822807,0.902791,0.954047,0.856763
RO,d_r_47_,0.805390,0.892206,0.993432,0.809701
RO,d_r_547_,1.000000,1.000000,1.000000,1.000000
RO,d_r_552_,1.000000,1.000000,1.000000,1.000000
RO,d_r_58_,1.000000,1.000000,1.000000,1.000000
RO,d_r_598_,1.000000,1.000000,1.000000,1.000000
RO,d_r_602_,0.251984,0.402536,1.000000,0.251984
RO,d_r_635_,1.000000,1.000000,1.000000,1.000000
RO,d_r_801_,1.000000,1.000000,1.000000,1.000000
RO,d_r_84_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1033_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1059_,1.000000,1.000000,1.000000,1.000000
RO,f_r_106_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1079_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1165_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1199_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1220_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1229_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1276_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1282_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1298_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1303_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1319_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1340_,1.000000,1.000000,1.000000,1.000000
RO,f_r_13_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1410_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1428_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1435_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1440_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1450_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1452_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1461_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1467_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1471_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1478_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1644_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1737_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1782_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1800_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1892_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1920_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1931_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1948_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1965_,1.000000,1.000000,1.000000,1.000000
RO,f_r_1992_,1.000000,1.000000,1.000000,1.000000
RO,f_r_2052_,1.000000,1.000000,1.000000,1.000000
RO,f_r_209_,1.000000,1.000000,1.000000,1.000000
RO,f_r_214_,1.000000,1.000000,1.000000,1.000000
RO,f_r_246_,1.000000,1.000000,1.000000,1.000000
RO,f_r_24_,1.000000,1.000000,1.000000,1.000000
RO,f_r_263_,1.000000,1.000000,1.000000,1.000000
RO,f_r_329_,1.000000,1.000000,1.000000,1.000000
RO,f_r_392_,1.000000,1.000000,1.000000,1.000000
RO,f_r_403_,1.000000,1.000000,1.000000,1.000000
RO,f_r_446_,1.000000,1.000000,1.000000,1.000000
RO,f_r_478_,1.000000,1.000000,1.000000,1.000000
RO,f_r_54_,1.000000,1.000000,1.000000,1.000000
RO,f_r_604_,1.000000,1.000000,1.000000,1.000000
RO,f_r_644_,1.000000,1.000000,1.000000,1.000000
RO,f_r_721_,1.000000,1.000000,1.000000,1.000000
RO,f_r_93_,1.000000,1.000000,1.000000,1.000000
RO,n_l_0_,1.000000,1.000000,1.000000,1.000000
RO,n_l_100_,1.000000,1.000000,1.000000,1.000000
RO,n_l_102_,1.000000,1.000000,1.000000,1.000000
RO,n_l_12_,1.000000,1.000000,1.000000,1.000000
RO,n_l_15_,1.000000,1.000000,1.000000,1.000000
RO,n_l_18_,1.000000,1.000000,1.000000,1.000000
RO,n_l_26_,1.000000,1.000000,1.000000,1.000000
RO,n_l_29_,0.476918,0.645829,0.999644,0.476999
RO,n_l_3_,1.000000,1.000000,1.000000,1.000000
RO,n_l_44_,0.864127,0.927112,0.996690,0.866613
RO,n_l_48_,1.000000,1.000000,1.000000,1.000000
RO,n_l_52_,0.942856,0.970588,0.998419,0.944266
RO,n_l_79_,1.000000,1.000000,1.000000,1.000000
RO,n_l_84_,1.000000,1.000000,1.000000,1.000000
RO,n_l_87_,1.000000,1.000000,1.000000,1.000000
RO,w_r_101_,1.000000,1.000000,1.000000,1.000000
RO,w_r_109_,1.000000,1.000000,1.000000,1.000000
RO,w_r_10_,1.000000,1.000000,1.000000,1.000000
RO,w_r_111_,1.000000,1.000000,1.000000,1.000000
RO,w_r_116_,1.000000,1.000000,1.000000,1.000000
RO,w_r_147_,1.000000,1.000000,1.000000,1.000000
RO,w_r_14_,1.000000,1.000000,1.000000,1.000000
RO,w_r_150_,1.000000,1.000000,1.000000,1.000000
RO,w_r_157_,1.000000,1.000000,1.000000,1.000000
RO,w_r_199_,1.000000,1.000000,1.000000,1.000000
RO,w_r_201_,1.000000,1.000000,1.000000,1.000000
RO,w_r_217_,1.000000,1.000000,1.000000,1.000000
RO,w_r_22_,1.000000,1.000000,1.000000,1.000000
RO,w_r_30_,1.000000,1.000000,1.000000,1.000000
RO,w_r_3_,0.000000,0.000000,0.000000,1.000000
RO,w_r_43_,1.000000,1.000000,1.000000,1.000000
RO,w_r_4_,1.000000,1.000000,1.000000,1.000000
RO,w_r_50_,1.000000,1.000000,1.000000,1.000000
RO,w_r_59_,1.000000,1.000000,1.000000,1.000000
RO,w_r_6_,1.000000,1.000000,1.000000,1.000000
RO,w_r_84_,1.000000,1.000000,1.000000,1.000000
FV,d_r_122_,1.000000,1.000000,1.000000,1.000000
FV,d_r_129_,0.608805,0.756841,0.788274,0.727820
FV,d_r_144_,0.765146,0.866949,0.961466,0.789352
FV,d_r_166_,0.845775,0.916445,0.921951,0.911004
FV,d_r_182_,0.793281,0.884726,0.932657,0.841480
FV,d_r_196_,1.000000,1.000000,1.000000,1.000000
FV,d_r_233_,0.000000,0.000000,0.000000,1.000000
FV,d_r_277_,1.000000,1.000000,1.000000,1.000000
FV,d_r_300_,1.000000,1.000000,1.000000,1.000000
FV,d_r_345_,0.000000,0.000000,0.000000,1.000000
FV,d_r_379_,0.000000,0.000000,0.000000,1.000000
FV,d_r_384_,0.000000,0.000000,0.000000,1.000000
FV,d_r_386_,0.000000,0.000000,0.000000,1.000000
FV,d_r_465_,1.000000,1.000000,1.000000,1.000000
FV,d_r_47_,1.000000,1.000000,1.000000,1.000000
FV,d_r_547_,0.000000,0.000000,0.000000,1.000000
FV,d_r_552_,1.000000,1.000000,1.000000,1.000000
FV,d_r_58_,1.000000,1.000000,1.000000,1.000000
FV,d_r_598_,0.746713,0.854992,0.983705,0.756065
FV,d_r_602_,0.000000,0.000000,0.000000,1.000000
FV,d_r_635_,1.000000,1.000000,1.000000,1.000000
FV,d_r_801_,0.000000,0.000000,0.000000,1.000000
FV,d_r_84_,0.000000,0.000000,0.000000,1.000000
FV,f_r_1033_,0.843973,0.915386,0.942942,0.889394
FV,f_r_1059_,0.795653,0.886199,0.839264,0.938696
FV,f_r_106_,0.840947,0.913602,0.936197,0.892073
FV,f_r_1079_,0.834338,0.909689,0.966806,0.858944
FV,f_r_1165_,0.877055,0.934501,0.944397,0.924811
FV,f_r_1199_,0.890338,0.941988,0.919096,0.966050
FV,f_r_1220_,0.949815,0.974261,0.962047,0.986790
FV,f_r_1229_,0.886760,0.939982,0.940379,0.939585
FV,f_r_1276_,0.669374,0.801946,0.692284,0.952891
FV,f_r_1282_,0.905249,0.950268,0.970366,0.930986
FV,f_r_1298_,0.115875,0.207684,0.167267,0.273857
FV,f_r_1303_,0.894703,0.944426,0.941062,0.947814
FV,f_r_1319_,0.951111,0.974943,0.984657,0.965418
FV,f_r_1340_,0.895646,0.944951,0.985398,0.907693
FV,f_r_13_,0.707583,0.828754,0.997816,0.708680
FV,f_r_1410_,0.380654,0.551412,0.763598,0.431506
FV,f_r_1428_,0.875039,0.933356,0.934721,0.931994
FV,f_r_1435_,0.922777,0.959838,0.935952,0.984975
FV,f_r_1440_,0.522826,0.686652,0.546215,0.924297
FV,f_r_1450_,0.000000,0.000000,0.000000,1.000000
FV,f_r_1452_,0.950381,0.974559,0.986183,0.963207
FV,f_r_1461_,0.914642,0.955418,0.983089,0.929262
FV,f_r_1467_,0.802476,0.890415,0.923423,0.859685
FV,f_r_1471_,0.979118,0.989449,0.995661,0.983313
FV,f_r_1478_,0.662254,0.796815,0.816986,0.777615
FV,f_r_1644_,0.828795,0.906384,0.862935,0.954440
FV,f_r_1737_,0.859058,0.924186,0.952555,0.897458
FV,f_r_1782_,0.927533,0.962405,0.968637,0.956252
FV,f_r_1800_,0.460269,0.630389,0.875316,0.492563
FV,f_r_1892_,0.117775,0.210732,0.972973,0.118162
FV,f_r_1920_,0.934808,0.966306,0.956445,0.976372
FV,f_r_1931_,0.895894,0.945089,0.930413,0.960234
FV,f_r_1948_,0.703477,0.825930,0.801463,0.851939
FV,f_r_1965_,0.853879,0.921181,0.924234,0.918148
FV,f_r_1992_,1.000000,1.000000,1.000000,1.000000
FV,f_r_2052_,0.686601,0.814183,0.732986,0.915610
FV,f_r_209_,0.785427,0.879820,0.926576,0.837556
FV,f_r_214_,0.776706,0.874321,0.890412,0.858802
FV,f_r_246_,0.826777,0.905175,0.951635,0.863041
FV,f_r_24_,0.910512,0.953160,0.960737,0.945702
FV,f_r_263_,0.939041,0.968562,0.945254,0.993048
FV,f_r_329_,0.807034,0.893214,0.950802,0.842203
FV,f_r_392_,0.755287,0.860585,0.994457,0.758479
FV,f_r_403_,0.824464,0.903787,0.918236,0.889787
FV,f_r_446_,0.551293,0.710753,0.748165,0.676904
FV,f_r_478_,0.000000,0.000000,0.000000,1.000000
FV,f_r_54_,0.679995,0.809520,0.952243,0.704004
FV,f_r_604_,0.873882,0.932697,0.905699,0.961354
FV,f_r_644_,0.938393,0.968217,0.978073,0.958559
FV,f_r_721_,0.915128,0.955683,0.950387,0.961039
FV,f_r_93_,0.878708,0.935439,0.990962,0.885807
FV,n_l_0_,0.767271,0.868312,0.920391,0.821810
FV,n_l_100_,0.930870,0.964197,0.967144,0.961269
FV,n_l_102_,0.779450,0.876058,0.852423,0.901040
FV,n_l_12_,0.000000,0.000000,0.000000,1.000000
FV,n_l_15_,0.952787,0.975823,0.996693,0.955808
FV,n_l_18_,1.000000,1.000000,1.000000,1.000000
FV,n_l_26_,0.000000,0.000000,0.000000,1.000000
FV,n_l_29_,1.000000,1.000000,1.000000,1.000000
FV,n_l_3_,0.885890,0.939493,0.945176,0.933877
FV,n_l_44_,1.000000,1.000000,1.000000,1.000000
FV,n_l_48_,0.000000,0.000000,0.000000,1.000000
FV,n_l_52_,1.000000,1.000000,1.000000,1.000000
FV,n_l_79_,0.938729,0.968397,0.961047,0.975859
FV,n_l_84_,0.751307,0.857996,0.903601,0.816773
FV,n_l_87_,0.000000,0.000000,0.000000,1.000000
FV,w_r_101_,1.000000,1.000000,1.000000,1.000000
FV,w_r_109_,1.000000,1.000000,1.000000,1.000000
FV,w_r_10_,1.000000,1.000000,1.000000,1.000000
FV,w_r_111_,0.534690,0.696805,0.941982,0.552898
FV,w_r_116_,0.000000,0.000000,0.000000,1.000000
FV,w_r_147_,1.000000,1.000000,1.000000,1.000000
FV,w_r_14_,1.000000,1.000000,1.000000,1.000000
FV,w_r_150_,1.000000,1.000000,1.000000,1.000000
FV,w_r_157_,1.000000,1.000000,1.000000,1.000000
FV,w_r_199_,0.000000,0.000000,0.000000,1.000000
FV,w_r_201_,0.787287,0.880985,0.806370,0.970818
FV,w_r_217_,1.000000,1.000000,1.000000,1.000000
FV,w_r_22_,0.169406,0.289730,0.174214,0.859914
FV,w_r_30_,0.895074,0.944632,0.910763,0.981118
FV,w_r_3_,0.553756,0.712796,0.828194,0.625624
FV,w_r_43_,0.000000,0.000000,0.000000,1.000000
FV,w_r_4_,1.000000,1.000000,1.000000,1.000000
FV,w_r_50_,1.000000,1.000000,1.000000,1.000000
FV,w_r_59_,1.000000,1.000000,1.000000,1.000000
FV,w_r_6_,0.367697,0.537687,0.991597,0.368846
FV,w_r_84_,1.000000,1.000000,1.000000,1.000000
HD,d_r_122_,0.970139,0.984843,0.989404,0.980323
HD,d_r_129_,1.000000,1.000000,1.000000,1.000000
HD,d_r_144_,1.000000,1.000000,1.000000,1.000000
HD,d_r_166_,0.918510,0.957524,0.961481,0.953600
HD,d_r_182_,0.872005,0.931627,0.957451,0.907160
HD,d_r_196_,0.877653,0.934840,0.970310,0.901872
HD,d_r_233_,0.912458,0.954226,0.927265,0.982801
HD,d_r_277_,0.874271,0.932918,0.955438,0.911435
HD,d_r_300_,0.000000,0.000000,0.000000,1.000000
HD,d_r_345_,0.888137,0.940755,0.915105,0.967885
HD,d_r_379_,0.601806,0.751410,0.965349,0.615093
HD,d_r_384_,0.000000,0.000000,0.000000,1.000000
HD,d_r_386_,0.919434,0.958026,0.979478,0.937494
HD,d_r_465_,0.916993,0.956699,0.971966,0.941904
HD,d_r_47_,0.880359,0.936373,0.983515,0.893544
HD,d_r_547_,0.844289,0.915571,0.979926,0.859148
HD,d_r_552_,0.945218,0.971838,0.960234,0.983725
HD,d_r_58_,0.889186,0.941343,0.970552,0.913841
HD,d_r_598_,0.934955,0.966384,0.984434,0.948984
HD,d_r_602_,0.941624,0.969935,0.983814,0.956442
HD,d_r_635_,0.908986,0.952323,0.974016,0.931575
HD,d_r_801_,0.913708,0.954909,0.982964,0.928410
HD,d_r_84_,0.847590,0.917509,0.992064,0.853376
HD,f_r_1033_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1059_,0.472714,0.641963,0.940120,0.487388
HD,f_r_106_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1079_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1165_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1199_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1220_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1229_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1276_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1282_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1298_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1303_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1319_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1340_,0.794188,0.885289,0.919499,0.853534
HD,f_r_13_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1410_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1428_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1435_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1440_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1450_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1452_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1461_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1467_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1471_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1478_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1644_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1737_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1782_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1800_,0.806367,0.892805,0.913008,0.873477
HD,f_r_1892_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1920_,1.000000,1.000000,1.000000,1.000000
